"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
286,23 Dec 2023 14:40:11.152,23 Dec 2023 14:52:46.342,755.190
287,23 Dec 2023 16:37:52.365,23 Dec 2023 16:56:09.839,1097.474
288,23 Dec 2023 18:39:08.687,23 Dec 2023 18:56:19.180,1030.493
289,23 Dec 2023 20:41:31.210,23 Dec 2023 20:55:25.894,834.684
290,23 Dec 2023 22:44:15.505,23 Dec 2023 22:53:30.825,555.320
291,24 Dec 2023 15:18:05.658,24 Dec 2023 15:36:43.349,1117.691
292,24 Dec 2023 17:18:18.045,24 Dec 2023 17:37:53.755,1175.709
293,24 Dec 2023 19:20:30.769,24 Dec 2023 19:37:25.578,1014.809
294,24 Dec 2023 21:23:17.979,24 Dec 2023 21:36:04.118,766.139
295,24 Dec 2023 23:27:15.249,24 Dec 2023 23:32:34.232,318.983
296,25 Dec 2023 13:59:24.551,25 Dec 2023 14:15:56.040,991.489
297,25 Dec 2023 15:57:41.033,25 Dec 2023 16:18:58.621,1277.588
298,25 Dec 2023 17:59:16.688,25 Dec 2023 18:19:09.034,1192.346
299,25 Dec 2023 20:02:05.350,25 Dec 2023 20:18:14.148,968.798
300,25 Dec 2023 22:05:19.449,25 Dec 2023 22:16:10.471,651.022
301,26 Dec 2023 12:44:01.114,26 Dec 2023 12:51:27.712,446.598
302,26 Dec 2023 14:37:40.315,26 Dec 2023 14:59:16.614,1296.299
303,26 Dec 2023 16:38:05.095,26 Dec 2023 17:00:29.419,1344.325
304,26 Dec 2023 18:40:35.464,26 Dec 2023 19:00:05.121,1169.657
305,26 Dec 2023 20:43:48.497,26 Dec 2023 20:58:42.118,893.621
306,26 Dec 2023 22:48:04.590,26 Dec 2023 22:55:13.648,429.058
307,27 Dec 2023 13:18:47.737,27 Dec 2023 13:38:15.108,1167.371
308,27 Dec 2023 15:17:15.915,27 Dec 2023 15:41:16.434,1440.519
309,27 Dec 2023 17:18:59.370,27 Dec 2023 17:41:34.692,1355.322
310,27 Dec 2023 19:22:05.950,27 Dec 2023 19:40:44.246,1118.296
311,27 Dec 2023 21:25:44.362,27 Dec 2023 21:38:40.105,775.743
312,28 Dec 2023 12:02:35.534,28 Dec 2023 12:14:11.345,695.812
313,28 Dec 2023 13:57:10.573,28 Dec 2023 14:21:13.716,1443.143
314,28 Dec 2023 15:57:35.073,28 Dec 2023 16:22:36.957,1501.884
315,28 Dec 2023 18:00:12.690,28 Dec 2023 18:22:22.099,1329.408
316,28 Dec 2023 20:03:44.293,28 Dec 2023 20:21:03.435,1039.142
317,28 Dec 2023 22:08:14.946,28 Dec 2023 22:17:44.143,569.197
318,29 Dec 2023 12:38:17.246,29 Dec 2023 12:59:50.138,1292.892
319,29 Dec 2023 14:36:42.220,29 Dec 2023 15:03:02.179,1579.960
320,29 Dec 2023 16:38:22.472,29 Dec 2023 17:03:34.030,1511.559
321,29 Dec 2023 18:41:37.275,29 Dec 2023 19:02:53.111,1275.836
322,29 Dec 2023 20:45:33.742,29 Dec 2023 21:00:54.263,920.521
323,30 Dec 2023 11:21:54.791,30 Dec 2023 11:35:33.704,818.913
324,30 Dec 2023 13:16:39.908,30 Dec 2023 13:42:34.427,1554.519
325,30 Dec 2023 15:16:53.894,30 Dec 2023 15:44:14.615,1640.721
326,30 Dec 2023 17:19:28.116,30 Dec 2023 17:44:14.123,1486.006
327,30 Dec 2023 19:23:09.311,30 Dec 2023 19:43:04.639,1195.328
328,30 Dec 2023 21:27:51.561,30 Dec 2023 21:39:57.857,726.296
329,31 Dec 2023 11:57:53.134,31 Dec 2023 12:20:43.102,1369.968
330,31 Dec 2023 13:56:04.753,31 Dec 2023 14:24:14.494,1689.741
331,31 Dec 2023 15:57:32.224,31 Dec 2023 16:25:05.005,1652.781
332,31 Dec 2023 18:00:44.774,31 Dec 2023 18:24:38.165,1433.390
333,31 Dec 2023 20:04:51.399,31 Dec 2023 20:22:49.034,1077.634
334,31 Dec 2023 22:12:06.467,31 Dec 2023 22:16:48.233,281.765
335,1 Jan 2024 10:41:36.977,1 Jan 2024 10:55:57.851,860.874
336,1 Jan 2024 12:36:11.197,1 Jan 2024 13:03:18.025,1626.828
337,1 Jan 2024 14:36:07.009,1 Jan 2024 15:05:20.620,1753.612
338,1 Jan 2024 16:38:28.105,1 Jan 2024 17:05:39.003,1630.898
339,1 Jan 2024 18:42:08.749,1 Jan 2024 19:04:42.975,1354.226
